chrom	start	end	region	coverage	sample
SRX17852072	25	431	SARS-CoV-2_1	1374	SRX17852072
SRX17852072	324	727	SARS-CoV-2_2	1803	SRX17852072
SRX17852072	644	1044	SARS-CoV-2_3	982	SRX17852072
SRX17852072	944	1362	SARS-CoV-2_4	993	SRX17852072
SRX17852072	1245	1650	SARS-CoV-2_5	487	SRX17852072
SRX17852072	1540	1948	SARS-CoV-2_6	1161	SRX17852072
SRX17852072	1851	2250	SARS-CoV-2_7	2214	SRX17852072
SRX17852072	2154	2571	SARS-CoV-2_8	176	SRX17852072
SRX17852072	2483	2885	SARS-CoV-2_9	640	SRX17852072
SRX17852072	2780	3210	SARS-CoV-2_10	728	SRX17852072
SRX17852072	3078	3492	SARS-CoV-2_11	2313	SRX17852072
SRX17852072	3390	3794	SARS-CoV-2_12	1814	SRX17852072
SRX17852072	3683	4093	SARS-CoV-2_13	1806	SRX17852072
SRX17852072	3992	4409	SARS-CoV-2_14	423	SRX17852072
SRX17852072	4312	4710	SARS-CoV-2_15	0	SRX17852072
SRX17852072	4620	5017	SARS-CoV-2_16	1394	SRX17852072
SRX17852072	4923	5331	SARS-CoV-2_17	1608	SRX17852072
SRX17852072	5230	5643	SARS-CoV-2_18	850	SRX17852072
SRX17852072	5561	5957	SARS-CoV-2_19	1406	SRX17852072
SRX17852072	5867	6272	SARS-CoV-2_20	706	SRX17852072
SRX17852072	6184	6582	SARS-CoV-2_21	736	SRX17852072
SRX17852072	6478	6885	SARS-CoV-2_22	679	SRX17852072
SRX17852072	6747	7156	SARS-CoV-2_23	529	SRX17852072
SRX17852072	7057	7467	SARS-CoV-2_24	311	SRX17852072
SRX17852072	7381	7770	SARS-CoV-2_25	1460	SRX17852072
SRX17852072	7672	8092	SARS-CoV-2_26	335	SRX17852072
SRX17852072	7997	8395	SARS-CoV-2_27	2773	SRX17852072
SRX17852072	8304	8714	SARS-CoV-2_28	1937	SRX17852072
SRX17852072	8596	9013	SARS-CoV-2_29	1050	SRX17852072
SRX17852072	8919	9329	SARS-CoV-2_30	571	SRX17852072
SRX17852072	9168	9564	SARS-CoV-2_31	392	SRX17852072
SRX17852072	9470	9866	SARS-CoV-2_32	835	SRX17852072
SRX17852072	9782	10176	SARS-CoV-2_33	953	SRX17852072
SRX17852072	10076	10491	SARS-CoV-2_34	1020	SRX17852072
SRX17852072	10393	10810	SARS-CoV-2_35	1045	SRX17852072
SRX17852072	10713	11116	SARS-CoV-2_36	1129	SRX17852072
SRX17852072	11000	11414	SARS-CoV-2_37	1706	SRX17852072
SRX17852072	11305	11720	SARS-CoV-2_38	773	SRX17852072
SRX17852072	11624	12033	SARS-CoV-2_39	802	SRX17852072
SRX17852072	11937	12339	SARS-CoV-2_40	1525	SRX17852072
SRX17852072	12234	12643	SARS-CoV-2_41	2260	SRX17852072
SRX17852072	12519	12920	SARS-CoV-2_42	759	SRX17852072
SRX17852072	12831	13240	SARS-CoV-2_43	1276	SRX17852072
SRX17852072	13124	13528	SARS-CoV-2_44	1786	SRX17852072
SRX17852072	13463	13859	SARS-CoV-2_45	1843	SRX17852072
SRX17852072	13752	14144	SARS-CoV-2_46	1688	SRX17852072
SRX17852072	14045	14457	SARS-CoV-2_47	1107	SRX17852072
SRX17852072	14338	14743	SARS-CoV-2_48	1324	SRX17852072
SRX17852072	14647	15050	SARS-CoV-2_49	607	SRX17852072
SRX17852072	14953	15358	SARS-CoV-2_50	312	SRX17852072
SRX17852072	15214	15619	SARS-CoV-2_51	328	SRX17852072
SRX17852072	15535	15941	SARS-CoV-2_52	1334	SRX17852072
SRX17852072	15855	16260	SARS-CoV-2_53	1827	SRX17852072
SRX17852072	16112	16508	SARS-CoV-2_54	1875	SRX17852072
SRX17852072	16386	16796	SARS-CoV-2_55	2054	SRX17852072
SRX17852072	16692	17105	SARS-CoV-2_56	1773	SRX17852072
SRX17852072	16986	17405	SARS-CoV-2_57	1058	SRX17852072
SRX17852072	17323	17711	SARS-CoV-2_58	1444	SRX17852072
SRX17852072	17615	18022	SARS-CoV-2_59	779	SRX17852072
SRX17852072	17911	18328	SARS-CoV-2_60	750	SRX17852072
SRX17852072	18244	18652	SARS-CoV-2_61	925	SRX17852072
SRX17852072	18550	18961	SARS-CoV-2_62	1374	SRX17852072
SRX17852072	18869	19277	SARS-CoV-2_63	1532	SRX17852072
SRX17852072	19183	19586	SARS-CoV-2_64	1360	SRX17852072
SRX17852072	19485	19901	SARS-CoV-2_65	552	SRX17852072
SRX17852072	19810	20216	SARS-CoV-2_66	396	SRX17852072
SRX17852072	20090	20497	SARS-CoV-2_67	1635	SRX17852072
SRX17852072	20377	20792	SARS-CoV-2_68	552	SRX17852072
SRX17852072	20677	21080	SARS-CoV-2_69	1208	SRX17852072
SRX17852072	20988	21387	SARS-CoV-2_70	971	SRX17852072
SRX17852072	21294	21700	SARS-CoV-2_71	1638	SRX17852072
SRX17852072	21532	21933	SARS-CoV-2_72	1377	SRX17852072
SRX17852072	21865	22274	SARS-CoV-2_73	437	SRX17852072
SRX17852072	22091	22503	SARS-CoV-2_74	435	SRX17852072
SRX17852072	22402	22805	SARS-CoV-2_75	455	SRX17852072
SRX17852072	22648	23141	SARS-CoV-2_76	918	SRX17852072
SRX17852072	22944	23351	SARS-CoV-2_77	1486	SRX17852072
SRX17852072	23219	23635	SARS-CoV-2_78	1263	SRX17852072
SRX17852072	23553	23955	SARS-CoV-2_79	90	SRX17852072
SRX17852072	23853	24258	SARS-CoV-2_80	763	SRX17852072
SRX17852072	24171	24567	SARS-CoV-2_81	2128	SRX17852072
SRX17852072	24426	24836	SARS-CoV-2_82	1341	SRX17852072
SRX17852072	24750	25150	SARS-CoV-2_83	1018	SRX17852072
SRX17852072	25051	25461	SARS-CoV-2_84	1658	SRX17852072
SRX17852072	25331	25740	SARS-CoV-2_85	2004	SRX17852072
SRX17852072	25645	26050	SARS-CoV-2_86	1140	SRX17852072
SRX17852072	25951	26360	SARS-CoV-2_87	1563	SRX17852072
SRX17852072	26242	26661	SARS-CoV-2_88	253	SRX17852072
SRX17852072	26564	26991	SARS-CoV-2_89	1174	SRX17852072
SRX17852072	26873	27283	SARS-CoV-2_90	437	SRX17852072
SRX17852072	27152	27560	SARS-CoV-2_91	1751	SRX17852072
SRX17852072	27447	27855	SARS-CoV-2_92	953	SRX17852072
SRX17852072	27700	28104	SARS-CoV-2_93	942	SRX17852072
SRX17852072	27996	28416	SARS-CoV-2_94	1105	SRX17852072
SRX17852072	28190	28598	SARS-CoV-2_95	1501	SRX17852072
SRX17852072	28512	28914	SARS-CoV-2_96	1237	SRX17852072
SRX17852072	28827	29227	SARS-CoV-2_97	49	SRX17852072
SRX17852072	29136	29534	SARS-CoV-2_98	988	SRX17852072
SRX17852072	29452	29854	SARS-CoV-2_99	802	SRX17852072
