chrom	start	end	region	coverage	sample
SRX17852076	25	431	SARS-CoV-2_1	4151	SRX17852076
SRX17852076	324	727	SARS-CoV-2_2	4145	SRX17852076
SRX17852076	644	1044	SARS-CoV-2_3	2246	SRX17852076
SRX17852076	944	1362	SARS-CoV-2_4	2096	SRX17852076
SRX17852076	1245	1650	SARS-CoV-2_5	2051	SRX17852076
SRX17852076	1540	1948	SARS-CoV-2_6	3271	SRX17852076
SRX17852076	1851	2250	SARS-CoV-2_7	4692	SRX17852076
SRX17852076	2154	2571	SARS-CoV-2_8	138	SRX17852076
SRX17852076	2483	2885	SARS-CoV-2_9	1897	SRX17852076
SRX17852076	2780	3210	SARS-CoV-2_10	2027	SRX17852076
SRX17852076	3078	3492	SARS-CoV-2_11	5580	SRX17852076
SRX17852076	3390	3794	SARS-CoV-2_12	3407	SRX17852076
SRX17852076	3683	4093	SARS-CoV-2_13	4747	SRX17852076
SRX17852076	3992	4409	SARS-CoV-2_14	772	SRX17852076
SRX17852076	4312	4710	SARS-CoV-2_15	1640	SRX17852076
SRX17852076	4620	5017	SARS-CoV-2_16	4143	SRX17852076
SRX17852076	4923	5331	SARS-CoV-2_17	5360	SRX17852076
SRX17852076	5230	5643	SARS-CoV-2_18	2455	SRX17852076
SRX17852076	5561	5957	SARS-CoV-2_19	2872	SRX17852076
SRX17852076	5867	6272	SARS-CoV-2_20	1422	SRX17852076
SRX17852076	6184	6582	SARS-CoV-2_21	2802	SRX17852076
SRX17852076	6478	6885	SARS-CoV-2_22	1046	SRX17852076
SRX17852076	6747	7156	SARS-CoV-2_23	1508	SRX17852076
SRX17852076	7057	7467	SARS-CoV-2_24	565	SRX17852076
SRX17852076	7381	7770	SARS-CoV-2_25	3463	SRX17852076
SRX17852076	7672	8092	SARS-CoV-2_26	673	SRX17852076
SRX17852076	7997	8395	SARS-CoV-2_27	7575	SRX17852076
SRX17852076	8304	8714	SARS-CoV-2_28	4746	SRX17852076
SRX17852076	8596	9013	SARS-CoV-2_29	3049	SRX17852076
SRX17852076	8919	9329	SARS-CoV-2_30	1025	SRX17852076
SRX17852076	9168	9564	SARS-CoV-2_31	1464	SRX17852076
SRX17852076	9470	9866	SARS-CoV-2_32	2229	SRX17852076
SRX17852076	9782	10176	SARS-CoV-2_33	2335	SRX17852076
SRX17852076	10076	10491	SARS-CoV-2_34	2657	SRX17852076
SRX17852076	10393	10810	SARS-CoV-2_35	2699	SRX17852076
SRX17852076	10713	11116	SARS-CoV-2_36	2014	SRX17852076
SRX17852076	11000	11414	SARS-CoV-2_37	3555	SRX17852076
SRX17852076	11305	11720	SARS-CoV-2_38	1982	SRX17852076
SRX17852076	11624	12033	SARS-CoV-2_39	2036	SRX17852076
SRX17852076	11937	12339	SARS-CoV-2_40	3384	SRX17852076
SRX17852076	12234	12643	SARS-CoV-2_41	4884	SRX17852076
SRX17852076	12519	12920	SARS-CoV-2_42	1513	SRX17852076
SRX17852076	12831	13240	SARS-CoV-2_43	2704	SRX17852076
SRX17852076	13124	13528	SARS-CoV-2_44	3336	SRX17852076
SRX17852076	13463	13859	SARS-CoV-2_45	4665	SRX17852076
SRX17852076	13752	14144	SARS-CoV-2_46	4061	SRX17852076
SRX17852076	14045	14457	SARS-CoV-2_47	2224	SRX17852076
SRX17852076	14338	14743	SARS-CoV-2_48	3534	SRX17852076
SRX17852076	14647	15050	SARS-CoV-2_49	2247	SRX17852076
SRX17852076	14953	15358	SARS-CoV-2_50	457	SRX17852076
SRX17852076	15214	15619	SARS-CoV-2_51	1369	SRX17852076
SRX17852076	15535	15941	SARS-CoV-2_52	2553	SRX17852076
SRX17852076	15855	16260	SARS-CoV-2_53	3942	SRX17852076
SRX17852076	16112	16508	SARS-CoV-2_54	4120	SRX17852076
SRX17852076	16386	16796	SARS-CoV-2_55	4685	SRX17852076
SRX17852076	16692	17105	SARS-CoV-2_56	4109	SRX17852076
SRX17852076	16986	17405	SARS-CoV-2_57	2331	SRX17852076
SRX17852076	17323	17711	SARS-CoV-2_58	2900	SRX17852076
SRX17852076	17615	18022	SARS-CoV-2_59	2322	SRX17852076
SRX17852076	17911	18328	SARS-CoV-2_60	2301	SRX17852076
SRX17852076	18244	18652	SARS-CoV-2_61	2756	SRX17852076
SRX17852076	18550	18961	SARS-CoV-2_62	2674	SRX17852076
SRX17852076	18869	19277	SARS-CoV-2_63	3691	SRX17852076
SRX17852076	19183	19586	SARS-CoV-2_64	3741	SRX17852076
SRX17852076	19485	19901	SARS-CoV-2_65	1247	SRX17852076
SRX17852076	19810	20216	SARS-CoV-2_66	887	SRX17852076
SRX17852076	20090	20497	SARS-CoV-2_67	3975	SRX17852076
SRX17852076	20377	20792	SARS-CoV-2_68	1209	SRX17852076
SRX17852076	20677	21080	SARS-CoV-2_69	3077	SRX17852076
SRX17852076	20988	21387	SARS-CoV-2_70	2545	SRX17852076
SRX17852076	21294	21700	SARS-CoV-2_71	4036	SRX17852076
SRX17852076	21532	21933	SARS-CoV-2_72	3329	SRX17852076
SRX17852076	21865	22274	SARS-CoV-2_73	1234	SRX17852076
SRX17852076	22091	22503	SARS-CoV-2_74	984	SRX17852076
SRX17852076	22402	22805	SARS-CoV-2_75	992	SRX17852076
SRX17852076	22648	23141	SARS-CoV-2_76	2925	SRX17852076
