chrom	start	end	region	coverage	sample
SRX17852073	25	431	SARS-CoV-2_1	2215	SRX17852073
SRX17852073	324	727	SARS-CoV-2_2	3078	SRX17852073
SRX17852073	644	1044	SARS-CoV-2_3	1731	SRX17852073
SRX17852073	944	1362	SARS-CoV-2_4	1456	SRX17852073
SRX17852073	1245	1650	SARS-CoV-2_5	872	SRX17852073
SRX17852073	1540	1948	SARS-CoV-2_6	2044	SRX17852073
SRX17852073	1851	2250	SARS-CoV-2_7	3289	SRX17852073
SRX17852073	2154	2571	SARS-CoV-2_8	222	SRX17852073
SRX17852073	2483	2885	SARS-CoV-2_9	948	SRX17852073
SRX17852073	2780	3210	SARS-CoV-2_10	1199	SRX17852073
SRX17852073	3078	3492	SARS-CoV-2_11	3320	SRX17852073
SRX17852073	3390	3794	SARS-CoV-2_12	2798	SRX17852073
SRX17852073	3683	4093	SARS-CoV-2_13	2777	SRX17852073
SRX17852073	3992	4409	SARS-CoV-2_14	657	SRX17852073
SRX17852073	4312	4710	SARS-CoV-2_15	0	SRX17852073
SRX17852073	4620	5017	SARS-CoV-2_16	2204	SRX17852073
SRX17852073	4923	5331	SARS-CoV-2_17	2708	SRX17852073
SRX17852073	5230	5643	SARS-CoV-2_18	1478	SRX17852073
SRX17852073	5561	5957	SARS-CoV-2_19	1971	SRX17852073
SRX17852073	5867	6272	SARS-CoV-2_20	1200	SRX17852073
SRX17852073	6184	6582	SARS-CoV-2_21	1241	SRX17852073
SRX17852073	6478	6885	SARS-CoV-2_22	1310	SRX17852073
SRX17852073	6747	7156	SARS-CoV-2_23	922	SRX17852073
SRX17852073	7057	7467	SARS-CoV-2_24	630	SRX17852073
SRX17852073	7381	7770	SARS-CoV-2_25	2268	SRX17852073
SRX17852073	7672	8092	SARS-CoV-2_26	437	SRX17852073
SRX17852073	7997	8395	SARS-CoV-2_27	4501	SRX17852073
SRX17852073	8304	8714	SARS-CoV-2_28	3261	SRX17852073
SRX17852073	8596	9013	SARS-CoV-2_29	1711	SRX17852073
SRX17852073	8919	9329	SARS-CoV-2_30	843	SRX17852073
SRX17852073	9168	9564	SARS-CoV-2_31	609	SRX17852073
SRX17852073	9470	9866	SARS-CoV-2_32	1133	SRX17852073
SRX17852073	9782	10176	SARS-CoV-2_33	1408	SRX17852073
SRX17852073	10076	10491	SARS-CoV-2_34	1732	SRX17852073
SRX17852073	10393	10810	SARS-CoV-2_35	1771	SRX17852073
SRX17852073	10713	11116	SARS-CoV-2_36	1717	SRX17852073
SRX17852073	11000	11414	SARS-CoV-2_37	2554	SRX17852073
SRX17852073	11305	11720	SARS-CoV-2_38	1383	SRX17852073
SRX17852073	11624	12033	SARS-CoV-2_39	1297	SRX17852073
SRX17852073	11937	12339	SARS-CoV-2_40	2429	SRX17852073
SRX17852073	12234	12643	SARS-CoV-2_41	3638	SRX17852073
SRX17852073	12519	12920	SARS-CoV-2_42	1260	SRX17852073
SRX17852073	12831	13240	SARS-CoV-2_43	2113	SRX17852073
SRX17852073	13124	13528	SARS-CoV-2_44	2651	SRX17852073
SRX17852073	13463	13859	SARS-CoV-2_45	3180	SRX17852073
SRX17852073	13752	14144	SARS-CoV-2_46	2574	SRX17852073
SRX17852073	14045	14457	SARS-CoV-2_47	1595	SRX17852073
SRX17852073	14338	14743	SARS-CoV-2_48	2182	SRX17852073
SRX17852073	14647	15050	SARS-CoV-2_49	1001	SRX17852073
SRX17852073	14953	15358	SARS-CoV-2_50	433	SRX17852073
SRX17852073	15214	15619	SARS-CoV-2_51	610	SRX17852073
SRX17852073	15535	15941	SARS-CoV-2_52	2077	SRX17852073
SRX17852073	15855	16260	SARS-CoV-2_53	2815	SRX17852073
SRX17852073	16112	16508	SARS-CoV-2_54	3092	SRX17852073
SRX17852073	16386	16796	SARS-CoV-2_55	3185	SRX17852073
SRX17852073	16692	17105	SARS-CoV-2_56	2992	SRX17852073
SRX17852073	16986	17405	SARS-CoV-2_57	1811	SRX17852073
SRX17852073	17323	17711	SARS-CoV-2_58	2220	SRX17852073
SRX17852073	17615	18022	SARS-CoV-2_59	1302	SRX17852073
SRX17852073	17911	18328	SARS-CoV-2_60	1258	SRX17852073
SRX17852073	18244	18652	SARS-CoV-2_61	1522	SRX17852073
SRX17852073	18550	18961	SARS-CoV-2_62	1999	SRX17852073
SRX17852073	18869	19277	SARS-CoV-2_63	2040	SRX17852073
SRX17852073	19183	19586	SARS-CoV-2_64	1996	SRX17852073
SRX17852073	19485	19901	SARS-CoV-2_65	726	SRX17852073
SRX17852073	19810	20216	SARS-CoV-2_66	563	SRX17852073
SRX17852073	20090	20497	SARS-CoV-2_67	2422	SRX17852073
