chrom	start	end	region	coverage	sample
SRX17852074	25	431	SARS-CoV-2_1	1437	SRX17852074
SRX17852074	324	727	SARS-CoV-2_2	1382	SRX17852074
SRX17852074	644	1044	SARS-CoV-2_3	794	SRX17852074
SRX17852074	944	1362	SARS-CoV-2_4	746	SRX17852074
SRX17852074	1245	1650	SARS-CoV-2_5	618	SRX17852074
SRX17852074	1540	1948	SARS-CoV-2_6	1067	SRX17852074
SRX17852074	1851	2250	SARS-CoV-2_7	1659	SRX17852074
SRX17852074	2154	2571	SARS-CoV-2_8	292	SRX17852074
SRX17852074	2483	2885	SARS-CoV-2_9	579	SRX17852074
SRX17852074	2780	3210	SARS-CoV-2_10	826	SRX17852074
SRX17852074	3078	3492	SARS-CoV-2_11	1858	SRX17852074
SRX17852074	3390	3794	SARS-CoV-2_12	1330	SRX17852074
SRX17852074	3683	4093	SARS-CoV-2_13	1493	SRX17852074
SRX17852074	3992	4409	SARS-CoV-2_14	580	SRX17852074
SRX17852074	4312	4710	SARS-CoV-2_15	700	SRX17852074
SRX17852074	4620	5017	SARS-CoV-2_16	1437	SRX17852074
SRX17852074	4923	5331	SARS-CoV-2_17	1691	SRX17852074
SRX17852074	5230	5643	SARS-CoV-2_18	789	SRX17852074
SRX17852074	5561	5957	SARS-CoV-2_19	826	SRX17852074
SRX17852074	5867	6272	SARS-CoV-2_20	807	SRX17852074
SRX17852074	6184	6582	SARS-CoV-2_21	1006	SRX17852074
SRX17852074	6478	6885	SARS-CoV-2_22	1039	SRX17852074
SRX17852074	6747	7156	SARS-CoV-2_23	851	SRX17852074
SRX17852074	7057	7467	SARS-CoV-2_24	592	SRX17852074
SRX17852074	7381	7770	SARS-CoV-2_25	1054	SRX17852074
SRX17852074	7672	8092	SARS-CoV-2_26	174	SRX17852074
SRX17852074	7997	8395	SARS-CoV-2_27	2938	SRX17852074
SRX17852074	8304	8714	SARS-CoV-2_28	1366	SRX17852074
SRX17852074	8596	9013	SARS-CoV-2_29	1002	SRX17852074
SRX17852074	8919	9329	SARS-CoV-2_30	1047	SRX17852074
SRX17852074	9168	9564	SARS-CoV-2_31	912	SRX17852074
SRX17852074	9470	9866	SARS-CoV-2_32	718	SRX17852074
SRX17852074	9782	10176	SARS-CoV-2_33	743	SRX17852074
SRX17852074	10076	10491	SARS-CoV-2_34	883	SRX17852074
SRX17852074	10393	10810	SARS-CoV-2_35	896	SRX17852074
SRX17852074	10713	11116	SARS-CoV-2_36	1406	SRX17852074
SRX17852074	11000	11414	SARS-CoV-2_37	1338	SRX17852074
SRX17852074	11305	11720	SARS-CoV-2_38	705	SRX17852074
SRX17852074	11624	12033	SARS-CoV-2_39	633	SRX17852074
SRX17852074	11937	12339	SARS-CoV-2_40	1005	SRX17852074
SRX17852074	12234	12643	SARS-CoV-2_41	1601	SRX17852074
SRX17852074	12519	12920	SARS-CoV-2_42	698	SRX17852074
SRX17852074	12831	13240	SARS-CoV-2_43	798	SRX17852074
SRX17852074	13124	13528	SARS-CoV-2_44	1190	SRX17852074
SRX17852074	13463	13859	SARS-CoV-2_45	1204	SRX17852074
SRX17852074	13752	14144	SARS-CoV-2_46	1224	SRX17852074
SRX17852074	14045	14457	SARS-CoV-2_47	798	SRX17852074
SRX17852074	14338	14743	SARS-CoV-2_48	1249	SRX17852074
SRX17852074	14647	15050	SARS-CoV-2_49	737	SRX17852074
SRX17852074	14953	15358	SARS-CoV-2_50	298	SRX17852074
SRX17852074	15214	15619	SARS-CoV-2_51	489	SRX17852074
SRX17852074	15535	15941	SARS-CoV-2_52	808	SRX17852074
SRX17852074	15855	16260	SARS-CoV-2_53	1166	SRX17852074
SRX17852074	16112	16508	SARS-CoV-2_54	1467	SRX17852074
SRX17852074	16386	16796	SARS-CoV-2_55	1569	SRX17852074
SRX17852074	16692	17105	SARS-CoV-2_56	1366	SRX17852074
SRX17852074	16986	17405	SARS-CoV-2_57	781	SRX17852074
SRX17852074	17323	17711	SARS-CoV-2_58	783	SRX17852074
SRX17852074	17615	18022	SARS-CoV-2_59	822	SRX17852074
SRX17852074	17911	18328	SARS-CoV-2_60	863	SRX17852074
SRX17852074	18244	18652	SARS-CoV-2_61	763	SRX17852074
SRX17852074	18550	18961	SARS-CoV-2_62	863	SRX17852074
SRX17852074	18869	19277	SARS-CoV-2_63	1346	SRX17852074
SRX17852074	19183	19586	SARS-CoV-2_64	1721	SRX17852074
SRX17852074	19485	19901	SARS-CoV-2_65	336	SRX17852074
SRX17852074	19810	20216	SARS-CoV-2_66	506	SRX17852074
SRX17852074	20090	20497	SARS-CoV-2_67	1276	SRX17852074
SRX17852074	20377	20792	SARS-CoV-2_68	287	SRX17852074
SRX17852074	20677	21080	SARS-CoV-2_69	774	SRX17852074
SRX17852074	20988	21387	SARS-CoV-2_70	651	SRX17852074
SRX17852074	21294	21700	SARS-CoV-2_71	1270	SRX17852074
SRX17852074	21532	21933	SARS-CoV-2_72	1307	SRX17852074
SRX17852074	21865	22274	SARS-CoV-2_73	679	SRX17852074
SRX17852074	22091	22503	SARS-CoV-2_74	507	SRX17852074
SRX17852074	22402	22805	SARS-CoV-2_75	268	SRX17852074
SRX17852074	22648	23141	SARS-CoV-2_76	1323	SRX17852074
SRX17852074	22944	23351	SARS-CoV-2_77	1743	SRX17852074
SRX17852074	23219	23635	SARS-CoV-2_78	1038	SRX17852074
