# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	0	0	20	0	0	0	9	0	0	0	0	11
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	0	0	20	0	0	0	9	0	0	0	0	11
N	gene-N	TRANSCRIPT_gene-N	protein_coding	2	0	4	6	0	1	0	0	2	3	0	0	6
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	10
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	0	0	20	0	0	0	9	0	0	0	0	11
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	0	0	16	0	0	0	9	0	0	0	0	7
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	1	0	0	12	0	0	0	8	0	0	1	0	4
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	0	1	1	10	0	0	0	6	0	1	0	1	4
S	gene-S	TRANSCRIPT_gene-S	protein_coding	1	2	8	14	0	3	1	9	1	4	0	2	5
orf1ab	gene-orf1ab	TRANSCRIPT_gene-orf1ab	protein_coding	5	4	26	11	3	1	0	11	2	22	3	4	0
