# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	0	0	27	0	0	0	0	11	0	0	0	0	0	16
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	0	0	27	0	0	0	0	11	0	0	0	0	0	16
N	gene-N	TRANSCRIPT_gene-N	protein_coding	1	0	4	7	0	0	1	0	0	1	3	0	0	0	7
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	1	0	0	26	0	0	0	0	11	1	0	0	0	0	15
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	0	0	23	0	0	0	0	11	0	0	0	0	0	12
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	1	16	0	0	0	0	10	0	1	0	0	0	6
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	3	8	0	1	0	0	5	1	2	0	0	0	3
S	gene-S	TRANSCRIPT_gene-S	protein_coding	1	2	12	15	0	0	3	1	12	1	8	0	0	2	3
orf1ab	gene-orf1ab	TRANSCRIPT_gene-orf1ab	protein_coding	4	4	160	16	66	0	1	0	16	1	93	2	1	4	0
